Unnamed: 0,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,latitude,longitude,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
0,21742,"Piso en venta en calle de Godella, 64","San Cristóbal, Madrid",64.0,60.0,2,1.0,,,,,"Calle de Godella, 64",False,Calle de Godella,64,,3.0,False,,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,471,,False,85000,1328,True,HouseType 1: Pisos,False,False,1960.0,,,,True,,False,True,,,,,,,,,,D,False,,,,,False,True,False,False
4,21738,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",108.0,90.0,2,2.0,,,,,Carretera de Villaverde a Vallecas,True,Carretera de Villaverde a Vallecas,,,4.0,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1094,,False,260000,2407,True,HouseType 1: Pisos,False,False,2003.0,,,,True,True,True,True,,True,,,True,,,,True,en trámite,True,,,True,0.0,True,True,True,True
5,21737,Piso en venta en geologia,"San Andrés, Madrid",126.0,114.0,4,2.0,,,,,geologia,True,geologia,,,3.0,False,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,901,,False,195000,1548,True,HouseType 1: Pisos,False,False,1981.0,False,True,,,,False,True,,,True,True,,,,True,,en trámite,True,,,True,0.0,False,False,False,True
9,21733,Piso en venta en calle de Martinez Oviol,"Los Rosales, Madrid",85.0,,2,1.0,,,,,Calle de Martinez Oviol,True,Calle de Martinez Oviol,,,7.0,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,672,,False,131400,1546,True,HouseType 1: Pisos,True,False,1950.0,False,True,,,,False,True,,,True,,,,,,,en trámite,False,,,,,False,True,False,False
10,21732,Piso en venta en De la Plata - Villaverde,"San Andrés, Madrid",69.0,,2,2.0,,,,,De la Plata - Villaverde,True,De la Plata - Villaverde,,,2.0,False,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,617,,False,118000,1710,True,HouseType 1: Pisos,True,False,1963.0,,,,,,False,True,,,True,,,,,,,en trámite,False,,,,,,,,
12,21730,"Piso en venta en calle de la Unanimidad, 67","Los Rosales, Madrid",123.0,104.0,3,2.0,,,,,"Calle de la Unanimidad, 67",False,Calle de la Unanimidad,67,,4.0,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,901,,False,195000,1585,True,HouseType 1: Pisos,False,False,1992.0,,,,True,True,True,True,,,,,,,,,,D,False,,,,,False,False,False,True
13,21729,"Piso en venta en calle de Anoeta, 63","Los Ángeles, Madrid",109.0,90.0,3,2.0,,,,,"Calle de Anoeta, 63",False,Calle de Anoeta,63,,3.0,False,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,933,,False,205000,1881,True,HouseType 1: Pisos,False,False,1983.0,,,,,True,True,True,,,True,,True,,,,,E,False,,,,,False,False,True,False
14,21728,Piso en venta en calle GODELLA,"San Cristóbal, Madrid",64.0,,3,1.0,,,,,Calle GODELLA,True,Calle GODELLA,,,3.0,False,,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,408,,False,72000,1125,True,HouseType 1: Pisos,False,False,1960.0,False,True,,,,False,True,,,True,,,,,,,F,False,,,,,,,,
26,21716,Piso en venta en COBALTO s/n,"San Andrés, Madrid",75.0,68.0,3,1.0,,,,,COBALTO s/n,False,,,,3.0,False,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,698,,False,138000,1840,True,HouseType 1: Pisos,False,False,1984.0,False,True,,True,True,False,True,,,True,,,,,,,inmueble exento,True,,,True,0.0,False,False,False,True
28,21714,Piso en venta en calle Villajoyosa,"Los Rosales, Madrid",65.0,63.0,3,1.0,,,,,Calle Villajoyosa,True,Calle Villajoyosa,,,1.0,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,744,,False,150000,2308,True,HouseType 1: Pisos,True,False,1976.0,False,True,,,True,True,True,,True,,,,,,,,en trámite,False,,,,,,,,
